-0.5,-0.63333,0.5,0.16667,-0.81667,-0.16667,-2,1,-2.95,1,-1.5,-1,4.7,0,-2,-1.0833,-1,-1.5833,-13.5,3.75,-0.78333,1.15,-2,-1.5,2.5,-2,-2.2333,-1,1,-1,-1,1.5,-2,3.5,0,3.5,3.25,1,-1.5,-1.4167,2,1,-0.083333,-2,-1.25,-0.5,-0.033333,1.5,1,1.6667,-0.5,0.38333,1.5,1.5,0,1.5,0.5,4,2,-2,-1.5667,2.0833,1.15,-0.25,2,2.25,1,-0.56667,0.5,0,1.25,-23,0,-1,-1.5,0.25,-1,-1.3333,-2,-0.71667,-0.25,1.8333,0.56667,0.25,-1.25,0.96667,-1.4167,-0.75,-2,2,1.5167,-1.6333,-0.5,1.3,4.25,0.33333,0,0.8,2,-14,-0.76667,-0.63333,0,-2,-0.5,-1.75,-0.25,0.66667,-0.5,-1.1,2,1,-1,-1.6667,-1.5333,-1.5,-13,-0.33333,-1,-2.5833,1,0.2,-0.5,2,-2.5,-0.5,1,-3,-0.25,1,-1,-1.6667,-8.9333,0.5,-1.95,-1.8333,-1,-0.15,0,1,-1,-0.25,0,2.0667,1,0.35,0,-2,-0.83333,-1,-0.41667,1.5,-1,2.6167,0.41667,0.25,5,0,2,2.5,-1,-2,-0.5,-0.5,1.5,1.3333,2,-0.5,2.45,0.25,0,-1,2,1.5833,0.2,-11.5,0.25,-0.66667,1,0.83333,2,0.41667,2.5,2.5,1,2.5,-2.5,0,2,-2.5,1,2.9667,1.6667,2.9,-1,-14.833,0,-2.5833,-1,0,0,0.16667,1.1667,0,1.5833,-1,1,-1.4167,1,2.3333,-2,0,-0.5,2.5,3.75,1,1,-1.5,0.016667,5.6667,-0.25,0.75,0.5,2,-1,3,0,1.5,1,-1.25,2.3667,2,3,0.5,1,1.5,-1.25,1,8.4167,0.5,-0.66667,-2,0,-1,0,1,-0.25,1,-1.5,2,0,-1,-0.83333,0.083333,-0.5,3.25,-1,0,-0.5,-2,-1,-2,-2,4,-1.5,5.25,-0.25,0,-0.88333,-1,1,1.5,2,0.86667,2.5167,0.75,4,1.3333,-1,-0.5,-0.5,-2,3,-2.0833,0.083333,1.5,0,1,-2.65,3.5,-2,-1,2.5667,-1,-4,2,-0.16667,-0.5,-4,-1,3,-0.8,-2,1,0.5,0.5,3,2,0.66667,1.25,-0.5,-1.5,-15,1.5,-0.5,-1.25,2,3.3333,5.5333,-3,-0.11667,-2,-1,1.0833,2,1,-0.75,-2,-2,-1.9167,-0.016667,-0.63333,1.7167,3,1,2.25,-0.66667,1.5,1,1.2833,-0.25,0.83333,-2.2333
-1.25,0.18333,2.4167,0.66667,-1.0833,-0.3,-1,2.5,-1.4833,0.5,-1.25,-1.3333,0.33333,1,-1,-0.33333,-1,-1,2,2.05,-0.76667,2.3667,-2.0833,-0.25,1,-1,-0.8,0,1.1667,1.25,-1,2.5,2,0.25,0.05,3.6667,2.1667,-2,-1,1.5,1.6167,4,-0.16667,-2.5,-2.5,0.66667,-0.25,2.5,0.5,2.6167,-0.5,-1.4667,2.5,2,-1,2,-0.5,0,-4,1.5,0.33333,5.5,0.86667,0.5,3.05,2.5,0,1.5,1.0833,1,0,-0.33333,0,1,0.75,3,-1,2.6667,-1.8333,-0.86667,1.1667,0.75,0.75,-0.38333,-0.5,0.25,-0.33333,-0.91667,4,2,1.9,-0.18333,0.5,1.5667,0,0.25,0.083333,0.8,2,-12.5,2.25,3.75,0,-1.5,0.083333,-1.5,-0.83333,0.16667,0,-1,3,0.5,-1.5,-3,3.2167,-3.25,4.5,0.33333,0,-2,2,0,-2.5,-1,-2,-2.7833,1,-4,-0.5,0,-1,-2.65,-8.5667,-1.6667,-0.91667,-0.5,-1,3.7,0,-0.28333,-1.25,1.5,-0.25,1.5833,1,1.5333,-1,-2.3333,-0.3,2,0.5,1.5,-1,0,2.5,1.3333,2,0.5,4.25,1.75,-2,-2,2.5,0.5,2,0.5,1,1.3333,0.98333,-0.3,2.6333,0,0,2.8333,-0.083333,-11.5,2,0.75,1,1,-2,0.5,0.75,-1,-0.5,3,-1,1.5,0,-0.5,1.25,2,2.15,1.75,-2,-1,3.5,-1.1,-2,0,1,-0.4,0.25,-0.25,2.25,-1,-0.25,-2.25,-0.5,1,-1.5,3,-1.7833,1.6667,1.6667,2,0.5,0,-0.76667,3.3333,-0.5,-0.5,1,2.5,-1,3,1.05,0,0,-2.25,3.25,3,1.8333,1.5,0,2.6667,-2,1.75,10.25,-0.25,1.25,-0.83333,0.25,-3,1,0.5,-1.5,2,-1.5,3,1,-1,-0.75,1.1667,0.5,1.75,-1,0,-1,-1.5,-1.5,-1,-2,2,-1.5,5.3,-1,4.75,-0.96667,0,3,0.5,5,-0.1,0.11667,0.25,3,2.25,-0.5,0,1,-1,2.5,-7.5,0.51667,1.9167,5.5,1.5,0,3,-2,2,1.2667,-2,-2,2,-1,-0.78333,-2,-1,-1,-0.083333,-1.5,1,1,1,2,2.5,1,2.5,-0.83333,-1,-12.5,2.3333,-3,2,0,3.5,0.9,-0.5,2.75,2.25,1,3,1,0,-1,-1.5,-2,-0.18333,1,0.28333,0.43333,3.5,2,1,-0.16667,1.5,1.5833,-0.33333,1.75,0.43333,-0.98333
-0.5,0.7,1.4167,0.16667,-0.5,0.25,0,0,-3.5,1,-0.75,1.75,1.7,1.5,2,1.5833,-1,-2.25,2.5,2.25,-0.76667,0.5,-1.5,-2,-11.333,1,-0.5,-1,-0.5,0.75,-3,2.5,-1,2.75,0.75,2,4.0833,-1,-2,4.5,2,2.5,-0.83333,-1.6667,-2,1,-2.5,2.5,-0.5,1.25,2.5,-2,4.75,2.5,1,1,1.1667,3,2,1.5,1.5,1.6667,0.15,1,4,-1.75,0,0.5,1,1,1.5,2,3,1,1.3333,3.05,-1,1.25,-0.83333,-0.9,-0.18333,2,5.6667,1.3333,0.5,0.75,-2,0.083333,4.5,2,2.75,1.3833,2.1667,2.0167,3,1.1667,0.11667,1.25,3,1,-0.66667,3.1,1,-3,-1,0,-2.1667,2.6667,-0.25,-1.0833,4,1.5,-0.83333,-1.25,1.7833,-3,5,0.75,-1,-1,-0.5,0.5,-1,4.5,-0.5,-0.71667,1,-1,-0.16667,-1,2,-2.65,-9.0667,0.25,-0.95,1,-0.83333,-0.98333,-2,-0.5,1.5,0,-0.25,0.53333,1.5,3.5,2,-3.4167,-0.16667,2,-2.5,1.25,-1,-0.46667,2.75,2.1667,2,1,3,4,-2,-2,2,0.5,1.4167,0.75,2,0.33333,3.2833,1.3833,1.5,-1.5,2,4.1667,0.083333,2,4,-0.41667,0.75,2,-2.5,0.25,5.5,0,-0.5,2,-0.5,4,1,-0.5,0.5,-2,3.2833,-0.58333,-3.5,-1,3.45,2.1667,1,2,2,0.33333,1.45,1,2.5,-1,2,-2,1.5,3,-1,4,1.45,5.1667,5.6167,0.75,3.75,0,-0.05,6.6667,-0.5,1,1.5,4.5,0,3,1.5,1.5,1,-1,0.53333,2.15,1.8333,2.5,2,3.25,-1.5,1.75,-12.667,1.4,2.6667,-1.5,3.75,1.5,1,-0.083333,-0.75,-1.1667,-2,1,1,-2,-0.66667,2.1667,-0.25,2.9167,0,0,-1,-0.25,0,-1.5,2.5,1,-1.5,5.65,-1,2.25,-1.1,0.5,0,0.33333,5,3,-0.81667,1.4167,3,1.75,1.3333,1,1,-0.5,3.3167,2.5667,2.8167,0.41667,2,2,-2,2,-2,-1,0.88333,0,-2,2,1.0833,-1.5,2.1667,0.5,0,5.75,-1,1.75,1,4.5,2,3.25,2,2.5,-1,-2,-12.25,-1.5,-1.5,1,0.11667,4.1667,7.6167,1,3.5,-2,-1,2.5,2,0,-0.75,-1,-1,-1.75,2.5833,2.6167,5.4333,2,1,0.73333,0.5,2.25,1.25,1.25,-2.25,0.85,0.18333
-0.5,-2.5,0,0.83333,-1.7833,-0.66667,-1,3.5,-1.45,2,-1.25,1.5333,1.3333,3,-4,0.33333,0,-3.9167,3,3.05,-0.11667,3.7667,-1.75,-2,0,-0.5,-2.0833,-1,2.4,-0.5,-4,4.5,-2.25,3,-0.5,4,2.0833,1.5,-1.5,-1.5,5.5,1,-1.25,-1.1667,-2,-0.5,-3.25,-1,0,3,0.5,-2.2167,9.5,1,-2,4.5,0.66667,5,2,-1.5,2.5,1.5,1.8667,1,3,1.5,0,-1.25,3.6667,1,2.25,1,3,-1,0,1.75,-1,-0.5,-1.5,-1.2167,0.33333,3.3333,1.7,0.83333,1,0.75,-4,1.1667,2,3,3.0333,-1.95,0.25,2.5833,0.5,-0.25,0.05,2.5333,3,-14,2.5833,1,1,-3,-1.75,-1.5,-0.25,1,0.25,-2,-12,0.75,-0.5,-1.4167,3.0667,-2.5,-0.5,-1.75,-1,-1,-3,-1,-2,-1.5,0,-2.1333,1,-1,-0.25,-1,3,-0.5,-10.55,-0.75,-0.95,0.25,0,-0.3,-1,4.5,-0.45,1.25,-2,1.8,2.5,1.75,1,-0.25,-1.1667,-0.5,-2.5,0.75,-1,-1,1.5,1.8333,9,1.5,4,-1,-2,-2,1.5,4,0.83333,1,4,1.5,6,-0.76667,0.51667,-2,2,1.3333,-2.6667,-11.5,2,-0.25,-0.25,3,4,-1.25,4.8333,-1,-0.5,1.5,-0.25,4,2,2.5833,0,-0.93333,5.1667,0.35,-2,-1,3.2167,3.7333,-2,2,0,1.0833,1.6667,0,2.0833,1,1.6667,-1.75,2.5,1.5,1,3,-0.31667,2.0833,3.7833,0.5,0.5,-0.28333,-0.21667,6.5,-0.5,0,2,4,0,2,1.25,2,1,-2,0.91667,2,2,1,1,1.8333,-1.75,1.75,7.3667,4,0.53333,-2,4.25,-0.5,3,0,-1.5,1.75,-1.5,2.5,0,-2,-0.8,5.5,-2,3,-2,0,0,-0.5,1.5,0.25,-1,2,-1.5,6.35,-1.5,5.6667,-0.1,0,3,3,3,-0.15,-0.13333,0,5,0.75,4.5,-1,-0.5,-1,3.25,-0.68333,0.46667,3.1667,5.5,1,-1.75,4,-1.5,-1,-0.83333,0,-2,2,-1,-1.5,2,0.5,-2,-1.5,-0.5,1.4167,-0.66667,5,1,3.1667,0.83333,1.5,-1,-1,-13.167,2,-0.16667,1,4.05,2,-1.2167,-3,3,2.3333,2,1,3.5,0.5,-0.91667,-1,-1,-0.5,3.6,-0.73333,2.3167,3.6667,-0.5,-2.3333,0.5,2,1.6667,4,-1.95,1.1667,-1.2833
-0.25,-3,0.25,0.16667,-0.41667,0.083333,-0.5,-0.5,-2.25,1.5,-0.75,-0.75,-0.16667,0.2,-2,-0.41667,0,-0.25,-13,2,-1.1,2.8167,-2.8333,1.5,-0.8,-2,-2.4,-2,2.5,1.25,-4,2.5,-1.5,0.33333,-0.95,5,1.3333,1,-1,0.75,2,1,-1.25,-2,-1.5,-0.5,-1.75,-1.5,2,1.3333,-0.5,-2,2.5,1,-2,0.5,1.8333,1,0.5,-2,-1.2333,1.0833,-0.3,-1.5,2,2,1,0.25,3,-1,1,1.5,0,-1,1,2,-1,-1,-1.5833,-1.4833,-0.48333,3.1667,1.6333,0.75,-0.5,0.75,-0.75,-0.25,-2,2,1.7167,-1.1833,0.75,1.2667,0.5,-0.16667,-0.083333,0.13333,0,-13,2.75,1,1,-2.5,-1.5,-1,-0.21667,-0.083333,0.5,-1.1333,1,1,-1.5,-1.5,17.2,-1.25,0,0.75,0,0,-4,1,0.5,3.5,-1,-2.5,1,-3,1.25,-1,1,-1,-0.78333,-0.5,-1,-0.5,-0.25,-6,0,-0.33333,-1.25,1.8333,-1,0.81667,1,2,-0.5,0.5,-0.33333,1,-4,1,-1,-0.41667,2,0.5,4.75,1.5,3.25,-1,-2,-2,-1,1.6667,1.6667,0.75,1,1.1667,1,1.1667,1.3833,0,0,4,-0.63333,-1.5,1.6667,-1.8,-1,4,4.5,0.58333,2.6667,1,-0.5,2.8333,-3,-0.5,4,-0.33333,0.5,0,1.3167,-0.48333,-1,0,3.3667,-1,-3,-0.75,3,1.3333,1.75,4,2.5833,2,2,-1.4167,0,3.75,1,1,-0.78333,1.8333,0.5,1,1.5,-1,-0.46667,6.4167,-1.5,-0.5,1,1.5,-1,2,2.0333,1.6667,0.5,0.33333,3.3833,1,2,0.33333,-1,3,-0.25,0.5,8.75,0.28333,-0.5,-1,3.25,-2,1.5,1.75,-1.5,-1,-1.5,1,0,-1,-0.85,1,-0.58333,0.083333,-1.5,0,-1,-0.5,-1,-1.5,-1,2,-1.5,2.5833,-1.5,-0.66667,-0.46667,0,2,2,4,0.58333,1.5333,2,4,1.5,-0.75,1.5,-1.75,-0.25,1.8333,1.75,3.4833,0.75,-0.7,3,-2.5167,3.5,-2,-1,0.5,-1,-2,2,1.25,-1.25,1.5,0.33333,0,2.1667,-1,-0.5,0.33333,1,1,2.25,1,0.75,-2,-2.5,-12.75,-0.33333,0,1,3.2833,3.25,1.0333,-2,1,1,0,-4,1.75,0.75,-1.9167,-1.5,-1.5,-1,3.0667,-1.3333,2.8167,4,0,1.1667,0,2,1.75,1.05,-0.95,0.71667,0
-2.25,-2.6167,1.6667,0,-0.53333,-0.33333,-0.75,4,-2.4667,0.5,-0.25,-0.66667,2.1667,2,-2,-0.33333,0,-1.0833,-13.5,1,-0.8,5.1667,-2.6667,-1,-0.81667,-0.5,-0.2,0,0,0.75,-1,2.5,-2.5,1,-1,0,2.4167,-1,-1.5,-0.66667,2,2.75,-1.25,-2.75,-1,-0.5,-0.16667,-1.5,3,1.1667,-0.5,-0.73333,-0.5,1.5,-2,3.25,3,3,1.5,-1.4167,0.33333,0.83333,1.8,-3,2,2.6667,1,0.33333,2.5833,0,0.5,2,0,-1,1,2,-1,-2,-1.75,-1.3,0.083333,1.3333,1.8,3.05,0.5,0.75,-2,-0.83333,-4,1,1.95,-0.3,-0.5,1.5333,4.5,-1.1667,0.33333,2.9,0,-13,-0.25,1.7667,0,-2,-1.25,-1,-0.83333,1,-0.5,-1.75,2,3,-0.25,-1,-2.7167,-1.6667,-1,-1.0833,0,-0.25,-3,0.083333,-2.5,-1,-2,-0.83333,0.5,-4,1.75,-1,3,-0.76667,-1.05,-1.8333,-1.95,0.5,-1,-4,-1.5,1.5,-0.91667,1.5,-0.25,1.1667,-1,1.25,0,-1,-1,-1,-2,1.3333,-1,-1.4833,1.5,0.16667,2,1.5,3,0.5,-2,-2,0.25,1.5,2.1667,1.25,1,1,1.5,0.91667,1.75,-1,5,2.3333,0.25,1.5,2.5,-0.61667,0,2,2,-0.5,1.75,0.5,1.5,3.0833,-1,1.5,1,0.26667,1,-0.16667,1.1667,2.5,0,-6,1.6667,0.25,-1,0,0,2,0.66667,-0.5,2.1667,-1,3.5,-1.8333,-1.5,1.5,-2,3,-0.1,2.6667,1.75,2,0.58333,1.3833,-2.15,5.6667,-1.5,1.25,0,2,-1,1,2.1333,0.66667,1,-1,4.5667,1.1667,3,1.1667,0,2,-0.75,1.5,-14.083,-0.6,0.66667,-1,1.1667,-1,0,2.55,-1.25,0,-1,1.5,0,-1,-0.76667,1,-1.25,2.25,-1.3,1,-1,-1,-0.5,0.5,0,2,-2,3.4167,-1,1,-0.26667,-1,0,-0.33333,3,0.83333,2.7333,1,4,1,-0.5,-0.5,-0.93333,1,1.5,2.5,1.7167,1.5,2,2,-1.4667,1.5,-1,-0.5,-1.2167,-2,-4,2,-0.5,-0.83333,0.083333,0.75,-1,-0.5,-0.5,2,-0.5,-1,3,3.75,-1,1,-1.75,-4,-11.167,0,-0.5,2,2.8833,3,6.4833,-3.5,-1.4167,-1,0.5,2.25,2,1,-0.91667,-3,-1,-0.16667,-0.4,-0.066667,1.6,4,1,-0.5,-0.5,1,1.6667,0.55,0.05,0.73333,-2.65
-1.5,-3,0.83333,0.33333,-0.4,-0.55,-1.5,0,-2.3333,1.5,-1.5,0.41667,1.5,-1,-2,-0.66667,0.5,-5,-12.5,1.25,-0.75,4.3667,-2.1667,0,-1,-1.75,1.25,-0.25,1.7167,-0.5,-1,1.75,0.66667,1.5,-1,3,1.9167,-0.25,-2,0.083333,2,2.75,-0.05,-2.8333,-2,1,-1,-1.5,3.45,2.25,-0.5,-2.5,0.25,1.5,-2,4.5,2.25,1,0,-1.4167,0.33333,2,1.0333,-1.3333,2,4.8333,1,0.5,1,2,1.0833,0,0,-1,1.5,1,-1,1.75,-0.58333,-0.13333,0.75,1,0.81667,1.1667,-1.5,0.75,1.1667,-0.5,-3,1,1.65,-0.75,2.5,1.6333,3,0.083333,0.16667,1.2667,0,-13.5,-0.5,0.25,0,-2,0.25,-1.5,1.25,0.5,-0.75,-1.1,2,1,-1.5,-1.5,-2.5,-2.25,0,-0.33333,0,-1,-3,-1,-2,-1,-0.5,-1.5333,1,0,1.0833,0,1,-1.3333,-0.13333,1.5,-0.95,0.083333,-0.5,-0.2,-3,0.5,-1.5,0.83333,0,1.25,-1,0.25,0,-0.53333,-0.71667,2,-2.5,1.5,-1,-1,1.5,0.33333,1.5,1.5,1.5,0.75,-1,-2,-0.16667,2,2.5,1.25,2,0.16667,2.8333,0.16667,0.11667,-1,2,1.8333,-0.16667,1.5,2,-0.11667,-1,1,4,-0.33333,3.5,3,-2,0.083333,-2.5,0.25,2,0.75,-0.5,-0.5,0.76667,2.75,0.5,-1,1.2167,-0.5,1,-0.5,2,-3,1.5,0,1.9167,-2,2,-1.75,0,2,-1,0,-0.7,0.5,1,0.5,0.58333,-0.25,0,3.4167,-1.5,0,0,1.5,-1,1,1.5333,0,1.5,-0.83333,2.4667,-12,3,0.66667,1,2.3333,-1.75,1.25,7.2,0.5,0.5,-0.5,4.3333,1,2,-0.11667,-1.5,1,-1.5,2,0,-1,-0.75,1,-0.75,5.0833,-1,0,0.5,-2,0,-1.5,-0.5,2,-1.7167,3,-0.75,0.083333,-1.65,0,2,0,3,0.16667,0.3,0.5,5,2,-0.5,0,-1.2833,1.1667,1.8667,0,2.7667,1.6667,0,3,-2,3,-0.5,-2,0.31667,-1,-4,2,1.1667,-0.75,-0.5,-1.3333,0,-0.75,-1.5,1,1.1667,0,2,4.25,-0.33333,1.25,-1.8333,-1.5,-12.833,-2,-0.5,2,-11.05,4.4167,-1.3,-1.75,-11.717,-1.5,-1,1,1,1,-0.91667,-2,0,-2.75,-0.016667,-0.46667,1.3333,3,-1,1.9,0,2.25,1.25,2,-2.95,0.66667,-2.3333
