-0.5,-0.63333,0.5,0.16667,-0.81667,-0.16667,-2,1,-2.95,1,-1.5,-1,4.7,0,-2,-1.0833,-1,-1.5833,-13.5,3.75,-0.78333,1.15,-2,-1.5,2.5,-2,-2.2333,-1,1,-1,-1,1.5,-2,3.5,0,3.5,3.25,1,-1.5,-1.4167,2,1,-0.083333,-2,-1.25,-0.5,-0.033333,1.5,1,1.6667,-0.5,0.38333,1.5,1.5,0,1.5,0.5,4,2,-2,-1.5667,2.0833,1.15,-0.25,2,2.25,1,-0.56667,0.5,0,1.25,-23,0,-1,-1.5,0.25,-1,-1.3333,-2,-0.71667,-0.25,1.8333,0.56667,0.25,-1.25,0.96667,-1.4167,-0.75,-2,2,1.5167,-1.6333,-0.5,1.3,4.25,0.33333,0,0.8,2,-14,-0.76667,-0.63333,0,-2,-0.5,-1.75,-0.25,0.66667,-0.5,-1.1,2,1,-1,-1.6667,-1.5333,-1.5,-13,-0.33333,-1,-2.5833,1,0.2,-0.5,2,-2.5,-0.5,1,-3,-0.25,1,-1,-1.6667,-8.9333,0.5,-1.95,-1.8333,-1,-0.15,0,1,-1,-0.25,0,2.0667,1,0.35,0,-2,-0.83333,-1,-0.41667,1.5,-1,2.6167,0.41667,0.25,5,0,2,2.5,-1,-2,-0.5,-0.5,1.5,1.3333,2,-0.5,2.45,0.25,0,-1,2,1.5833,0.2,-11.5,0.25,-0.66667,1,0.83333,2,0.41667,2.5,2.5,1,2.5,-2.5,0,2,-2.5,1,2.9667,1.6667,2.9,-1,-14.833,0,-2.5833,-1,0,0,0.16667,1.1667,0,1.5833,-1,1,-1.4167,1,2.3333,-2,0,-0.5,2.5,3.75,1,1,-1.5,0.016667,5.6667,-0.25,0.75,0.5,2,-1,3,0,1.5,1,-1.25,2.3667,2,3,0.5,1,1.5,-1.25,1,8.4167,0.5,-0.66667,-2,0,-1,0,1,-0.25,1,-1.5,2,0,-1,-0.83333,0.083333,-0.5,3.25,-1,0,-0.5,-2,-1,-2,-2,4,-1.5,5.25,-0.25,0,-0.88333,-1,1,1.5,2,0.86667,2.5167,0.75,4,1.3333,-1,-0.5,-0.5,-2,3,-2.0833,0.083333,1.5,0,1,-2.65,3.5,-2,-1,2.5667,-1,-4,2,-0.16667,-0.5,-4,-1,3,-0.8,-2,1,0.5,0.5,3,2,0.66667,1.25,-0.5,-1.5,-15,1.5,-0.5,-1.25,2,3.3333,5.5333,-3,-0.11667,-2,-1,1.0833,2,1,-0.75,-2,-2,-1.9167,-0.016667,-0.63333,1.7167,3,1,2.25,-0.66667,1.5,1,1.2833,-0.25,0.83333,-2.2333
-0.25,-3.25,0.25,1.1667,-1.0833,-0.76667,-0.5,1,-1.4667,1,-2.75,0.35,0.13333,-2,-2,-0.83333,0,-3.5833,2,1.25,-0.5,21.883,-2.1667,-1.5,-0.65,-2,1.3833,-0.5,1.3667,-1,-4,2,-2,3,-1,4.5,2.5833,0,-1,-1.5,4,2.5,0,-2.1667,-3,0.5,-3.4167,-1.5,1.0167,1.0667,-0.5,-2.7167,3.5,1,0,3.25,2.3333,4,1,-2,0.43333,2,0.2,-1,2,2.25,1,0.5,2,1,0.83333,1,0,-1,2,1,-1,-0.25,-1.5833,-2.9,0.5,1.3333,0.95,1.9667,0.16667,0.75,-1.25,-1.25,-3,0.5,1.7333,0.71667,1.25,1.7,3.5,0.16667,-0.5,0.8,1,-14,-0.75,0.25,0,-2,-0.91667,-1,1.2667,0.16667,-0.5,-1.0333,1,2,-1.25,-1,-2.2833,-2.5,-1,-0.5,-1,-0.75,-2,-0.93333,-2,3.5,0,-1.0333,1,-4,-0.41667,-1,0,-0.75,-0.65,0.25,2.75,0.25,-0.5,1.7167,-1.5,1.8,1.3333,0.5,-2.25,-0.53333,-0.5,0.083333,0,-1.25,-0.33333,-0.5,-1.5,0.25,-1,0.5,1,0.75,2,0.5,5,-0.5,-2,-2,3.25,-2,1.25,0.5,1,0.33333,1.5,-0.75,4.2,0,0,1.5,1.3333,-1.25,2.75,2.0833,1,5,5,0.58333,5.3333,-0.5,1.5,3.0833,2,0.5,3,0.13333,0,0.5,0.83333,-1.5,-1.5,-2,2.5,-1,-5,0.25,0,-0.5,2.75,1.5,2,-2,2.5,-1.25,0.66667,4.5,-4,2,-0.95,2.25,1.85,0.5,3.5,-1,0.61667,4.4,-1.5,-1,0,1,-1,3,1.8,0.5,2.25,-1,3.1833,1.3333,3,0.33333,1,1.1667,-0.16667,1.5,-13.5,0.68333,4.6667,-1,5.5,0,1.5,0.5,-1.5,-0.5,-2,1.25,0,-2,-0.83333,1.1667,0.61667,3.4333,0.33333,0,-1.5,-1,-1.5,-1.5,-1.75,2,-1.25,5.2167,-1.5,2.1667,1.55,-1.5,2,2.1667,2,-0.083333,0.31667,-0.25,5,0.5,-1.25,1.8,0.05,-2,2,4,5.0833,1.0833,1.5,0.5,-2.1833,3,-0.5,-1.5,1.65,-1,-4,2,1.25,-1.8333,-1,0.5,0,-0.5,0.5,-0.5,0.75,1.25,2.5,2,-0.16667,2.1667,-0.16667,-1.5,-12.667,-1,-1.5,2,1.5833,1.3333,-0.26667,-3,2.5667,1,0.5,3.5,4,0,-1,-0.25,-1,-2,2.9333,-1,1.4833,2.5,1,-0.25,-0.16667,1,1.55,2.5167,2,0.66667,-2.4667
1.25,-2,5.3333,0.5,-0.45,-0.5,0,2.8333,-0.5,2,-0.75,0.66667,1.1667,1,-3,-0.91667,0,-3.4333,3,0.75,-0.41667,-3.9,-2.3333,0.5,1.1667,-1,-0.033333,0,1.7167,0.75,-3,1.5,-1.9833,4.5,-1,4,3.6667,-1.5,-1,-0.38333,4,1,0,-2.8333,-2.5,0.83333,1.25,1.5,2.5,2.0333,-0.5,-2,2,0.58333,0,3,3,4,3,2.55,0.5,3,0.95,0.5,2.05,2,1.3333,3.5,0.16667,1,1.5,2,0,1.5,1,5,-1,1.75,-1.4167,-1.9167,1.1667,0,1.8833,-0.33333,-0.5,2.5,-1.5,-2,2.5,0.5,2.2667,3.5167,-20.25,2.25,3,-1.0833,-0.55,1.8833,-1,-14,-0.25,3.6667,0,-2,-0.66667,-1,1.1,0,1.25,-0.91667,4,4,-0.91667,-0.5,-3.1667,-1.5,4,0.5,1,-1.6667,-3,4,-2,-0.5,-1,-0.3,1,-3,-0.16667,0,3,-1.0833,-0.1,-2,0,0.5,-1.5,2.5333,-2,1.5333,2.5667,2.25,-0.5,3.4833,0.5,0,0,-2,0.66667,-0.5,-1,1,-1,0.25,2.5,0.83333,1.5,-0.5,2.5,0.81667,-1,-2,-0.5,-0.5,1.5,1.5,1.5,-1,1,-1.9167,-3.9667,0,0,2.6667,0.58333,3.5,2,3.1667,0,2.4167,2,-0.25,0.66667,2,-0.5,-2.75,-2,0.5,1,-1,0.5,1,0.083333,1.6667,0,-2,2.25,2.75,-4,0.25,1,4.6667,1.9167,0.5,3.1667,1,1.6667,-1.25,3.3333,1,3,0.75,-1.75,1.5,0.63333,-0.21667,3,-0.11667,1.3167,7.6667,-1.25,0.83333,1,3,-1,3,2.5333,1.5,1,-1.75,0.45,2.1667,3.1667,1.5833,-1,1,-0.91667,1,6.5,0.66667,1.5,-1.8333,2.25,1,1,1.25,-1.1667,-0.16667,-1.5,1.5,0,-3,-0.76667,1.5,-0.28333,9.8667,3,0,-1,-1,-0.5,-1,-2,2,-1.5,5.95,-1.5,2,-0.81667,-0.66667,2,0.66667,5,0.75,-0.95,0.41667,7,3.5,-0.5,0,-1.6333,0,2.25,-3,5.1333,5.3333,3,1,-0.91667,2.75,-1,-2,2.25,-1,-2,2,-2.5,-0.75,-0.33333,-1,-2,-1,1.5,-0.5,0.5,0.5,4,2.5,0,1.5,-0.25,-2.5,-11.833,-0.5,-1,2,1.0833,4.5,-1.6167,0.5,2.25,-1,0.5,1.7,3.5,0,-1,1,-1.5,-1,3.25,-2,3.25,2,2.5,-1.9167,0,1.45,1.5,-0.66667,-1.25,0,-2.3333
0.5,-2.75,0.083333,1.25,-0.11667,0.63333,0.5,1.5,-0.21667,0.5,-1.25,-0.25,3.6667,2,-1,-0.83333,-1,-3.0167,-12,0.25,0.31667,-1.0333,-1,-1.5,0.41667,-0.75,-1.25,-1.5,3.2,-0.5,-3,1.5,-0.75,1.75,1,3.5,4.25,-1,-2,5.5,2,2.5,-0.25,-2.1667,-3,0,1.75,2.5,0.33333,3.6667,0.75,-2.0833,2.5,1.1333,0,4,2.5,2,4.5,1.9167,2.5,0.83333,1.2333,2,3,2.75,-1,-1,1.4167,1,2,0.75,3,2,1,-1,-1,-1.6667,-1.4167,-0.73333,1.5,1.5,4.9,-1.8333,0.5,0.25,-0.66667,-1.75,2,1,2.7833,2.25,4.1667,2.5333,0,1.25,-0.083333,-0.61667,1.5,-14,-0.5,1.8667,0,-2,0.16667,-0.5,-0.16667,1.5,2.5,1.5,4,2,-0.5,-1.5,-3.3833,-1.5,4,-0.75,-2,0,-1,-2,-2,-2.5,0,-1.5,1,0,1.5,-1,4,-2.25,-9.2833,-0.5,-1.25,-12.5,-0.75,-2.2,1.5,0.98333,2.3833,2,-2.25,0.65,0.5,1.9167,2,-1.5,0.75,-0.5,-0.5,1.1667,-1,0.16667,0.5,1.8333,3,0.5,2.25,1.3333,-1,-2,3,2,1.1667,1.75,2,1,2,-0.23333,1.35,-1,0,2.5,1.3333,-1.5,1.8333,-0.38333,0.66667,3,4,-0.16667,7.6667,1,5.25,3.0833,0,0,2,0.5,-0.25,2.5,1.3333,0.33333,-1,-3,2.5,-2,1,2,0,2,2.5667,-0.23333,5.25,2,2,-2.25,-0.83333,1,3,1.25,0.05,2,4.35,2.5667,2,1.25,1.5167,7.3333,-1,0,0,4.5,0,3,1.15,0,1,-2,4.2667,3.5,3.3333,2,0,1.4167,-1.25,4,7.5,3,0.83333,-1,4.75,0,3,0.58333,-1.5,0,-1,1.75,0,-3,-0.85,3,-1.75,0.11667,2.5,0,-0.5,-2,-1.25,0.5,2,3,-2,5.4667,-1.5,3,9.6167,1,4,1.8333,4,-1.9167,2.0167,1.3333,5,2,0.58333,1,-0.25,-0.5,1.95,3.5,0.21667,0.16667,5.25,2,-0.16667,1.75,-1.5,2.5,0.63333,0,-2,2,-0.5,-1.8333,2,0.5,0,0.16667,0,1,1.1667,4.25,2,3.25,3,3.75,-1,-2.5,-12.167,-0.5,-3.5,2,5.7333,2.2833,-0.23333,1.5,1.5,0,-1.5,-1,2.3333,0,-1,-2,-0.5,-1.75,3.2833,-1.4167,1.7667,4.5,3,3.75,-2.5,2,2.1667,0.33333,-0.25,0.86667,-0.93333
-0.25,-3.8833,-0.25,1.5,-0.45,0.16667,-1,1,-1.4833,1,1.5833,0.33333,2.0167,0,0,1.5,-2,-2.1833,1,0,1.2,-1.25,2,-1.5,-1,-0.5,-0.16667,-1,-2,-0.5,-3,-11.5,-2,1.5,0,1.5,3.8333,-2,-1.5,-2.3333,2,1.75,-0.43333,-2,-0.5,1,-0.5,-1,1.4167,2.25,-0.75,-2,4,-0.33333,-1,3.1667,1.5,1,4,-1.5833,1.15,3,1.9667,1.6667,3.05,1.2167,5,3.5,1.3333,3,1.8333,-0.25,3,-1,1,1,-1,-0.75,-0.5,1,0.083333,-0.5,1.8,0.66667,1,0.5,-3.8333,-0.25,3,3,3.4833,-1.8833,2.3333,2.2667,3.5,-0.5,-0.5,2.85,0.5,-12,-0.5,1.5,1,-2.5,0.41667,-1,1.0167,1,-0.25,-0.5,2,3,-0.5,-2,-3.3,-1.5,3,-0.25,1,-1,-1,2,-2,3.5,4,-2.9667,1,-2,-0.083333,-1,1,-2.3333,-10.683,-1,0.25,0.5,1.75,-0.8,0,1.3333,1,1.25,-2,1.45,-1,0.5,2,-1.1667,-0.016667,1,-2,0.5,-1,3.45,3.5,3.5,4,0.5,1.25,5.0333,-2,-2,0.83333,0.5,0.5,0.25,3.3333,-0.25,4,-0.76667,0,2,0,2.8333,3,-3,1.3333,0.46667,0.83333,-3,2,1.75,5.3333,0.5,-1.5,2.0833,-2,1,-21,-0.5,1.25,2,1.5,0.63333,0,-3,3.5,1.2667,-3,2.5,1,-0.33333,3.8,0.66667,3.5,1,-0.16667,-1.9167,-0.5,0,-2,2,-0.61667,3.6667,1.1667,2.3667,0.5,1.5,-0.016667,5.3333,-1,-1,0,6,0,3,1.6333,0,1.5,-1,2.1333,3.0667,-2.3333,0.83333,1,1.5,-1.75,0.5,-13.25,2.4167,-1.25,-1.5,1.5,-1,-0.25,3,-1.75,-1.5,-2,1.25,0,-2,-0.88333,1,-0.71667,2.4167,-2,0,-1,-0.5,-5.5,-0.5,1,2,-1.0667,5.2,-1.25,4.5,11.283,-2,2,6,3,-0.5,1,0.083333,4,0.58333,1.25,1,0.5,-1.8333,2.5,3.5,-0.13333,1.1667,4,1.25,-0.083333,3.5,-2,-0.5,-0.63333,0,-2,2,-0.16667,-0.75,1.6667,-0.5,0,-5.6667,-1.5,1.75,1,4.5,-12,2.5,-2,3,-1,-4,-12.5,1.6667,-0.5,1,3.0833,1.0833,-1.0333,-3,4.2,1.3333,-1,-3,2,0,-1,-3,0,-1.5,2.3,-0.83333,7.4667,3.5,1,-1,-2,2,2.6667,1.1667,-3.25,0.93333,1.6
-0.5,-3.6333,-0.41667,1.5,-1.6333,0.16667,-0.5,2.5,-0.33333,2,-1.5,0.083333,2.5167,-1,-2,-0.16667,-2,-1.0667,1.5,1.05,0.96667,-3.1167,-2,0,-0.78333,-0.25,-0.98333,-3,-0.43333,1.25,-3,2.5,-3,0.16667,-1.95,6,2.75,2.5,-1,-3,2,4,-0.83333,-2.25,-2,2,-1,-1.5,2.5,1.75,-0.75,-1.4667,1,1.25,-2,3,1.5,2,1,-1.8333,1.3333,1,0.78333,0,2,3.5833,3,-1,2.75,2,0.75,0.083333,0,-1,2,1,-1,-0.5,-2,-3.5,0.33333,1.8333,-0.066667,2.1667,2,2.5,-0.66667,2,2,0,2.7667,1.1667,-0.83333,2.3167,3,0.33333,0.083333,2.3833,-1,1.5,1.75,0.2,1,-3,-2.25,-0.5,-0.2,0.75,-1,-1,2,4,-2.25,-2.5,-3.5,-3,-0.5,0.25,-2,-1.5,-3,1,-0.66667,-1,-4,-1.5,1,-5,2,0,1,-2.3333,-0.76667,-1.3333,0.25,1,-1,-1.9,0,-0.33333,-0.38333,2.5,0,2.05,1,0.5,0,-1.3333,-0.66667,2,-2,0.5,-1,3.6667,3,1.3333,5,1.5,-12,2,-2,-2,3.5,1.75,0.83333,1.3333,2.5,-0.5,1.5,0.73333,-2.9,-1,1,2,0.5,-1.5,1.8333,-1.1167,-0.25,-1,1,0.33333,4.5,1.5,1,1.25,-2.1667,2.5,1,2.5833,0,1.5,1.45,-1.65,0,-4,3,-2.25,-1,0,0,-0.25,2.8167,1.5,3.25,-2,2.5,-1.5,0,-2,-4,-1,6.1333,1.8333,3.5333,2.5167,3,-2,0.25,2.75,-1.5,-0.5,1,1,-1,3,2.25,1.5,2,0.83333,3.2167,1.0833,3,0.75,2.5,1.6667,-1.8,4.5,11.583,2,0.66667,-1,2.5,-2,-1,0.25,-2.5,-2,-1.5,2,0,-1,-0.93333,0.5,-0.63333,-12.167,-2.5,0,-0.33333,-0.66667,-2.5,0.25,0.75,2,-1,4.95,-0.75,1.5,-3.75,-0.33333,0,3.1667,4,-0.81667,0.4,0.4,3,-0.5,1.75,-0.5,-0.83333,-0.75,3,0.83333,1.4833,1.1667,3,1.5,-0.96667,2.1667,-2,-0.5,-0.066667,0,-2,2,1.1667,-1.8333,1.5,-1,-1,-0.91667,-1.75,-0.75,0.83333,2.5,-1,3.5,-2,2.6667,-1,-2.5,-13.667,-0.33333,-1,1,1.5667,1.75,-2.8,-1,1.5333,-2.5833,-2,-4,0,0,-1,1,0.83333,-1.5,2.5333,-1,-0.016667,3.3333,2.5,1.25,-1.5,5,2.8333,-0.25,5.05,0.66667,-2.3167
-1.75,-0.63333,0.83333,1.25,-1.1667,0.75,0,1,-1.4833,0.5,-0.75,-1.9167,4.0833,3,-1,-0.75,0.75,-0.18333,2.5,1,-0.033333,-0.66667,-2.1667,-1,-0.083333,-3,-0.05,-4,-0.83333,0.75,0,1.75,-2,1,-1,1,1.5833,1,-2,-1.9167,2,1.75,-0.25,-1.4167,-1.75,3,-1.25,-0.5,-0.5,1.3333,-0.75,-2.1667,2.5,0.5,-1,4.25,3.1667,5,0,-1.8333,-1.1667,3,0.4,-1,2,1.3333,0,-1.25,1,3,-0.5,2.6667,0,-0.5,1,2,-1,-1.0833,-1.75,-1.7167,0.75,2.5,2.8,2.5167,-0.5,2.5,-3.75,-1.4167,-3,0.5,1.1833,0.38333,-0.16667,2.2,0,-0.83333,0,0.1,1.5,-12,-0.75,0.68333,0,-2,-1.5,-1.5,-0.83333,-0.16667,-0.5,-1,1,2,-1.5,-2,-3.1667,-0.75,-1,1.5,-1,-2,-1,0,-2.5,4,-2.5,-1.75,1,-2,3.25,0,2,-2.5,-0.36667,0.5,-1.95,-0.5,-1.5,-2.9167,-1,0.71667,-0.033333,-0.16667,-0.25,0.76667,1,0.5,-0.5,-2.2,0.33333,-0.25,-2,1,-1,0,2,0.41667,6,1.5,2.3333,-1,-2,-2,0.75,-0.66667,1.5,0.5,1,-0.16667,3.5,0.25,0.53333,-1.5,4,4.5,0.41667,-0.5,1,2.7667,-1.25,1,3,-0.16667,3.3333,-0.5,0,4.5,1.25,-0.5,1,0.75,0.33333,1,-2,5.3333,-1,-5,0,1.5,-6,0,4,-1.8333,1.75,0.66667,4.5,-2,1.5,-0.75,0,2,-3,0.5,0.4,0.66667,3.8,0.66667,3.75,-0.16667,-0.6,1.3333,0,-1,0.5,1,-1,3,0,0,1.5,1,3.65,0.75,-1,1,0,1.9167,-1.7,0.5,9.3333,0.083333,-1.8333,-1,3.5833,-0.5,0.5,1.25,-1.3333,-1.5,-1.5,2.5,0,-1,-0.66667,1,0.23333,0.73333,-1,0,-0.16667,-1,-1,-0.5,2,4,-3,3.8,-0.5,0,-1.65,0,1,2.5833,3,-1.0833,0.23333,0.58333,3,-1,0.5,0,-0.8,-0.66667,2.6667,-1,1.8167,1,0,2.5,-1.3333,3.05,-2,1,-1.0833,0,-4,2,1.1667,-1.75,1.5,0.5,0,-1.4333,-2,1.25,0.66667,1,1,2,-0.33333,1.25,-0.5,-4,-13.167,-0.016667,0.5,1,1.9667,4.4167,4.9,-2.25,3,1.5,2,-3.5,1,0,-0.95,1.5,-0.5,-0.16667,1.9833,-0.65,4.1333,2.6667,0,0.51667,-1.75,4,2.5,1.1667,-2.95,0.86667,-0.8
