Mes,data science,machine learning,deep learning,categorical,
1/1/2004,12,18,4,1,
2/1/2004,12,21,2,1,
3/1/2004,9,21,2,1,
4/1/2004,10,16,4,1,
5/1/2004,7,14,3,1,
6/1/2004,9,17,3,1,
7/1/2004,9,16,3,1,
8/1/2004,7,14,3,1,
9/1/2004,10,17,4,1,
10/1/2004,8,17,4,1,
11/1/2004,8,15,2,1,
12/1/2004,8,16,2,1,
1/1/2005,10,16,2,0,
2/1/2005,9,14,3,0,
3/1/2005,8,13,2,0,
4/1/2005,8,12,3,0,
5/1/2005,8,15,3,0,
6/1/2005,8,12,3,0,
7/1/2005,6,11,2,0,
8/1/2005,9,10,2,0,
9/1/2005,7,14,2,0,
10/1/2005,7,16,3,0,
11/1/2005,7,13,4,0,
12/1/2005,5,13,2,0,
1/1/2006,7,12,3,0,
2/1/2006,7,12,3,0,
3/1/2006,7,12,2,0,
4/1/2006,7,12,2,0,
5/1/2006,7,11,2,0,
6/1/2006,6,10,2,0,
7/1/2006,5,9,1,0,
8/1/2006,6,9,2,0,
9/1/2006,7,11,1,0,
10/1/2006,6,11,2,0,
11/1/2006,7,11,2,0,
12/1/2006,4,9,3,0,
1/1/2007,6,11,2,0,
2/1/2007,7,11,3,0,
3/1/2007,6,9,3,0,
4/1/2007,5,10,3,0,
5/1/2007,6,9,1,0,
6/1/2007,6,9,2,0,
7/1/2007,4,9,2,0,
8/1/2007,5,9,3,0,
9/1/2007,6,9,2,0,
10/1/2007,6,11,2,0,
11/1/2007,6,10,2,0,
12/1/2007,5,8,3,0,
1/1/2008,6,9,2,1,
2/1/2008,6,9,2,1,
3/1/2008,5,8,3,1,
4/1/2008,6,10,2,1,
5/1/2008,5,9,2,1,
6/1/2008,5,8,2,1,
7/1/2008,5,7,3,1,
8/1/2008,5,7,1,1,
9/1/2008,6,9,2,1,
10/1/2008,6,10,2,1,
11/1/2008,6,9,2,1,
12/1/2008,5,8,2,1,
1/1/2009,6,8,3,0,
2/1/2009,6,9,3,0,
3/1/2009,6,8,2,0,
4/1/2009,6,9,3,0,
5/1/2009,5,8,2,0,
6/1/2009,5,8,2,0,
7/1/2009,4,8,2,0,
8/1/2009,5,8,2,0,
9/1/2009,7,8,3,0,
10/1/2009,6,9,2,0,
11/1/2009,7,9,2,0,
12/1/2009,6,8,2,0,
1/1/2010,7,8,2,0,
2/1/2010,7,9,2,0,
3/1/2010,6,9,2,0,
4/1/2010,6,9,2,0,
5/1/2010,6,8,2,0,
6/1/2010,5,8,2,0,
7/1/2010,5,8,3,0,
8/1/2010,5,8,2,0,
9/1/2010,7,9,2,0,
10/1/2010,6,9,3,0,
11/1/2010,6,9,3,0,
12/1/2010,5,9,2,0,
1/1/2011,7,8,3,0,
2/1/2011,6,9,2,0,
3/1/2011,6,9,3,0,
4/1/2011,6,9,2,0,
5/1/2011,5,9,3,0,
6/1/2011,5,8,2,0,
7/1/2011,4,7,2,0,
8/1/2011,5,8,2,0,
9/1/2011,7,11,3,0,
10/1/2011,7,12,3,0,
11/1/2011,7,12,3,0,
12/1/2011,6,10,2,0,
1/1/2012,7,10,3,1,
2/1/2012,7,11,3,1,
3/1/2012,7,11,2,1,
4/1/2012,6,11,3,1,
5/1/2012,6,11,4,1,
6/1/2012,6,10,3,1,
7/1/2012,6,10,3,1,
8/1/2012,7,10,3,1,
9/1/2012,10,12,3,1,
10/1/2012,8,13,4,1,
11/1/2012,8,12,6,1,
12/1/2012,6,11,4,1,
1/1/2013,8,11,5,0,
2/1/2013,8,12,4,0,
3/1/2013,8,12,5,0,
4/1/2013,9,13,6,0,
5/1/2013,9,13,7,0,
6/1/2013,8,12,5,0,
7/1/2013,8,12,6,0,
8/1/2013,9,11,6,0,
9/1/2013,12,13,8,0,
10/1/2013,11,16,7,0,
11/1/2013,11,15,8,0,
12/1/2013,10,14,8,0,
1/1/2014,13,14,9,0,
2/1/2014,12,16,10,0,
3/1/2014,13,16,10,0,
4/1/2014,13,17,10,0,
5/1/2014,12,16,11,0,
6/1/2014,12,15,10,0,
7/1/2014,13,16,9,0,
8/1/2014,16,16,11,0,
9/1/2014,19,18,12,0,
10/1/2014,17,18,12,0,
11/1/2014,17,20,11,0,
12/1/2014,16,18,17,0,
1/1/2015,19,20,19,0,
2/1/2015,18,21,20,0,
3/1/2015,18,21,21,0,
4/1/2015,20,24,19,0,
5/1/2015,19,22,20,0,
6/1/2015,20,24,23,0,
7/1/2015,20,24,23,0,
8/1/2015,23,23,22,0,
9/1/2015,27,26,24,0,
10/1/2015,25,27,24,0,
11/1/2015,24,30,28,0,
12/1/2015,22,28,28,0,
1/1/2016,27,28,34,1,
2/1/2016,27,32,34,1,
3/1/2016,26,34,44,1,
4/1/2016,27,34,44,1,
5/1/2016,27,34,42,1,
6/1/2016,27,36,46,1,
7/1/2016,26,32,40,1,
8/1/2016,29,34,41,1,
9/1/2016,36,39,46,1,
10/1/2016,33,42,52,1,
11/1/2016,34,46,55,1,
12/1/2016,33,46,59,1,
1/1/2017,41,51,65,0,
2/1/2017,42,56,69,0,
3/1/2017,44,59,75,0,
4/1/2017,42,61,76,0,
5/1/2017,43,63,80,0,
6/1/2017,43,65,78,0,
7/1/2017,42,62,76,0,
8/1/2017,47,64,84,0,
9/1/2017,53,71,87,0,
10/1/2017,53,75,89,0,
11/1/2017,52,80,94,0,
12/1/2017,48,72,91,0,
1/1/2018,58,76,91,0,
2/1/2018,57,80,93,0,
3/1/2018,58,82,95,0,
4/1/2018,58,82,95,0,
5/1/2018,59,83,98,0,
6/1/2018,57,81,90,0,
7/1/2018,60,81,88,0,
8/1/2018,64,82,87,0,
9/1/2018,68,85,94,0,
10/1/2018,70,90,97,0,
11/1/2018,67,88,94,0,
12/1/2018,61,81,87,0,
1/1/2019,76,86,93,0,
2/1/2019,77,93,95,0,
3/1/2019,75,91,98,0,
4/1/2019,77,92,98,0,
5/1/2019,76,92,97,0,
6/1/2019,80,93,96,0,
7/1/2019,85,92,96,0,
8/1/2019,88,93,92,0,
9/1/2019,95,100,100,0,
10/1/2019,90,98,98,0,
11/1/2019,87,97,96,0,
12/1/2019,81,89,91,0,
1/1/2020,94,94,93,1,
2/1/2020,100,99,99,1,
